Date,費城半導體,Open,High,Low,Adj Close,漲跌,"漲跌
(%)","振幅
(%)",Volume,成交資料_筆數,成交資料_均張,成交資料_億元,法人買賣超(張)_外資,法人買賣超(張)_投信,法人買賣超(張)_自營,法人買賣超(張)_合計,"外資
持股
(%)",融資(張)增減,融資(張)餘額,融券(張)增減,融券(張)餘額,"券資
比
(%)",美商高盛-買進張數,美林-買進張數,新加玻商瑞銀-買進張數
2022/5/23,2898.43,533,534,528,528,-2,-0.38,1.13,"18,919","18,775",1.01,100,-39.1,47,437,445,72.5,-428,33211,-3,353,1.06,138,942,1062.7
2022/5/24,2827.05,530,531,520,520,-8,-1.52,2.08,"19,131","31,716",0.6,100,-3855,1469,-139,-2525,72.4,-5,33206,-29,324,0.98,880.6,609,676
2022/5/25,2882.93,522,529,520,524,4,0.77,1.73,"22,460","18,352",1.22,118,-3965,2,1985,-1977,72.4,395,33601,-33,291,0.87,1593,1973.9,584.2
2022/5/26,2994.61,523,525,513,514,-10,-1.91,2.29,"31,543","72,846",0.43,163,-13629,95,67.8,-13466,72.4,181,33782,-22,269,0.8,724,1042,663
2022/5/27,3115.35,524,530,522,530,16,3.11,1.56,"30,113","28,711",1.05,159,4687,166,1098,5952,72.4,-821,32961,25,294,0.89,3529.3,2288,1065.6
2022/5/31,3098.69,542,560,540,560,13,2.38,3.66,"81,963","34,286",2.39,455,14406,328,-795,13939,72.5,-918,30318,291,776,2.56,3007,11012.9,6906.4
2022/6/1,3049.03,550,555,548,549,-11,-1.96,1.25,"32,971","33,456",0.99,182,-4503,-30,-382,-4915,72.5,592,30910,-403,373,1.21,2231.5,476.4,220
2022/6/2,3157.98,544,545,540,540,-9,-1.64,0.91,"26,063","30,042",0.87,141,-3067,-1991,-300,-5359,72.5,705,31615,-76,297,0.94,234,1443,1461.4
2022/6/6,3062.74,541,544,538,540,0,0,1.11,"23,732","16,614",1.43,128,-3910,-69,480,-3499,72.4,225,31840,-46,251,0.79,717,1817.4,1529.9
2022/6/7,3092.97,535,538,532,535,-5,-0.93,1.11,"22,153","28,586",0.77,118,-5589,-63,824,-4828,72.4,602,32442,-56,195,0.6,739.5,1390,900.9
2022/6/8,3019.1,539,545,538,544,9,1.68,1.31,"19,610","18,487",1.06,106,4544,-27,1254,5771,72.4,-927,31515,-8,187,0.59,487,2085,1284
2022/6/9,2937.79,538,542,537,541,-3,-0.55,0.92,"16,894","18,802",0.9,91.2,-2306,252,293,-1761,72.4,-46,31469,-51,136,0.43,473,1111,1364.9
2022/6/10,2831.98,530,533,529,530,-11,-2.03,0.74,"22,615","44,802",0.5,120,-14523,-10.7,257,-14277,72.3,760,32229,-136,0,0,538,437,311
2022/6/13,2673,518,519,515,516,-14,-2.64,0.75,"36,759","112,023",0.33,190,-23234,71,-1403,-24566,72.2,1249,33478,0,0,0,183,576,307.7
2022/6/14,2689.89,507,514,507,513,-3,-0.58,1.36,"38,839","85,483",0.45,198,-19467,79.5,237,-19150,72.1,1574,35052,0,0,0,410,827,571
2022/6/15,2737.55,508,515,508,509,-4,-0.78,1.36,"38,361","72,687",0.53,196,-13779,246,-374,-13907,72.1,137,35189,0,0,0,759,1027,1365.2
2022/6/16,2566.86,515,516,507,508,2,0.4,1.78,"31,908","42,177",0.76,163,1620,-8,-1398,214,72.1,-764,34425,102,102,0.3,1222,2406.7,2679
2022/6/17,2578.54,499.5,503,499,501,-7,-1.38,0.79,"48,401","119,618",0.4,243,-17118,-1523,-771,-19412,72,-10,34415,28,130,0.38,1047,1739.3,656.1
2022/6/21,2649.37,501,505,499,505,7,1.41,1.2,"34,433","32,427",1.06,173,6228,281,3219,9727,72,-66,33719,-15,259,0.77,935.4,3628,1853
2022/6/22,2619.71,501,503,494.5,494.5,-10.5,-2.08,1.68,"33,439","81,024",0.41,166,-8516,312,-704,-8908,72,-1220,32499,342,601,1.85,1127.7,1051,1453
2022/6/23,2602.74,492,493.5,485,485.5,-9,-1.82,1.72,"46,808","104,661",0.45,228,-6892,426,4551,-1916,71.9,-471,32028,-280,321,1,589,2020,1217
2022/6/24,2718.47,489.5,492.5,485.5,486.5,1,0.21,1.44,"29,004","43,609",0.67,142,-2298,160,6514,4376,71.9,-139,31889,80,401,1.26,1069,2064,1377
2022/6/27,2713.48,496,506,495.5,498.5,12,2.47,2.16,"38,684","37,438",1.03,194,7085,231,1915,9230,71.9,-527,31362,-96,305,0.97,909,2451,5646.2
2022/6/28,2642.07,496,500,496,497.5,-1,-0.2,0.8,"16,868","18,988",0.89,83.9,-904,453,194,-257,71.9,-63,31299,4,309,0.99,967.5,1078,1660.2
2022/6/29,2583.98,496,498.5,491,491,-6.5,-1.31,1.51,"33,125","40,024",0.83,164,-3355,1283,-476,-2548,71.9,169,31468,4,313,0.99,4482,3452.8,979.5
2022/6/30,2556.25,484.5,486.5,476,476,-15,-3.05,2.14,"49,821","111,117",0.45,239,-11499,-97,-644,-12240,71.8,171,31639,60,373,1.18,2617.6,2091.1,3956.3
2022/7/1,2458.46,471.5,474,452.5,453.5,-22.5,-4.73,4.52,"72,597","172,267",0.42,335,-10264,283,2854,-7127,71.8,-583,31056,229,602,1.94,2463.5,2018,3226
2022/7/5,2477.64,449.5,451.5,433,446,6,1.36,4.2,"55,470","70,715",0.78,245,5273,-59,2309,7522,71.8,-151,30683,23,627,2.04,1355.4,3676,4985.8
2022/7/6,2494.11,442,447.5,435,435.5,-10.5,-2.35,2.8,"42,157","59,018",0.71,186,1722,-256,242,1708,71.8,-253,30430,160,787,2.59,2348,1803.5,4117.9
2022/7/7,2605.89,442,459,438.5,457.5,22,5.05,4.71,"50,984","56,227",0.91,230,15562,352,775,6689,71.8,-1098,29332,154,941,3.21,2244,10612.4,3355
2022/7/8,2618.02,470,470.5,461.5,467,9.5,2.08,1.97,"39,134","46,039",0.85,183,4084,244,-37.7,4290,71.9,-815,28517,117,1058,3.71,2809.1,1833.4,2578.3
2022/7/11,2553.69,468,470.5,461,462,-5,-1.07,2.03,"22,931","25,631",0.89,107,4851,301,-253,4899,71.9,-163,28354,-15,1043,3.68,617.9,1201.2,1172.1
2022/7/12,2558.17,458,458,449.5,449.5,-12.5,-2.71,1.84,"24,156","34,431",0.7,109,926,-33.5,-534,359,71.9,95,28449,-38,1005,3.53,1747,2031,2332.8
2022/7/13,2577.36,470.5,473,466,470.5,21,4.67,1.56,"48,134","48,964",0.98,226,6820,266,2851,9937,71.9,-467,27982,187,1192,4.26,3317,2702,5137.2
2022/7/14,2626.92,466,477.5,463,475,4.5,0.96,3.08,"34,014","36,454",0.93,160,-6541,616,1646,-4280,71.9,1378,29360,-184,1008,3.43,3842,1737.3,1008.8
2022/7/15,2693.77,481,494,477,492.5,17.5,3.68,3.58,"56,039","63,691",0.88,273,4937,305,846,6087,71.9,-401,28959,149,1157,4,1245.5,4562.8,1779.8
2022/7/18,2679.57,495.5,498.5,488.5,495.5,3,0.61,2.03,"40,798","42,574",0.96,201,-863,-121,-401,-1385,71.9,151,29110,328,1485,5.1,3700,514,2305.1
2022/7/19,2803.14,487.5,493,486.5,491,-4.5,-0.91,1.31,"20,554","25,035",0.82,101,-1170,11,411,-748,71.9,-507,28603,-341,1144,4,301,875,2240.1
2022/7/20,2872.96,502,503,491.5,495,4,0.81,2.34,"36,863","40,233",0.92,183,484,284,115,883,71.9,-264,28339,30,1174,4.14,3506.7,2306,1359.1
2022/7/21,2916.81,496,501,494,501,6,1.21,1.41,"23,893","23,039",1.04,119,-863,-121,-401,-1385,71.9,-83,28256,-15,1159,4.1,1291,782.7,1751.6
2022/7/22,2842.41,505,505,500,503,2,0.4,1,"26,904","26,122",1.03,135,6388,-354,-631,5403,72,-873,27383,188,1347,4.92,4324,334,6140
2022/7/25,2825.03,500,503,498,499.5,-3.5,-0.7,0.99,"16,804","17,230",0.98,84,2425,375,-230,2571,72,-362,27021,-91,1256,4.65,394,986,1121.4
2022/7/26,2778.96,499.5,499.5,491,495,-4.5,-0.9,1.7,"19,524","29,293",0.67,96.6,731,474,-325,879,72,-286,26735,37,1293,4.84,1835.7,1337,1544
2022/7/27,2911,494,502,491,502,7,1.41,2.22,"18,411","20,351",0.9,91.4,3058,97.9,14.6,3171,72,-205,26530,12,1305,4.92,971,895.7,1572.9
2022/7/28,2944.5,509,509,499,501,-1,-0.2,1.99,"35,021","31,274",1.12,177,5337,862,200,6400,72,-155,26375,20,1325,5.02,595,1405,2906
